captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.9767.last,candidates.9767.abbrv,candidates.9767.party,candidates.9767.candidateID,candidates.9767.ballotOrder,candidates.9767.polID,candidates.9767.polNum,candidates.9767.electWon,candidates.9768.last,candidates.9768.party,candidates.9768.candidateID,candidates.9768.ballotOrder,candidates.9768.polID,candidates.9768.polNum,candidates.9768.electWon,raceCallStatus,candidates.9768.winnerDateTime,isCertified
1668135342,2022-11-10 20:55:42 -0600,5270420aa4c9cb4ddf9235fa638c118e9d4e7acd,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2156882,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668204606,2022-11-11 16:10:06 -0600,8effa236799ccdfabdd4f61dfd8bec43c72aa135,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2165641,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668205482,2022-11-11 16:24:42 -0600,fa76bf0a3da2fdc2358e203063f8b71eb164ff9a,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2170292,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668210134,2022-11-11 17:42:14 -0600,eff25d5e153e65241811a6bd3e37c5ad8a51e8ff,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2176814,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668210176,2022-11-11 17:42:56 -0600,27f5028947a1574eb2450aafa345beab1972e5f3,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2170292,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668210218,2022-11-11 17:43:38 -0600,83a79f81e335ff0e7266c657751c91cf55371f8e,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2176814,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668211895,2022-11-11 18:11:35 -0600,2b2a5528c30006bb1952191d4aada8a3f1fc142f,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2259162,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668216276,2022-11-11 19:24:36 -0600,8c6e03430d2a4d8dfcf32568921df26e4d231688,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2279514,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668216317,2022-11-11 19:25:17 -0600,5c572d6272afd85ce69eadae015610118b87d5c8,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2259162,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
1668216359,2022-11-11 19:25:59 -0600,4cc1268ceac96001a4c23f9fc6dfd1696c40392f,WA-20221108_Eday80,48,Ballot Issue,G,Active Tabulation,I,Advisory Vote,Rideshare worker comp,True,True,True,40 - Repeal Transportation Tax,1,2796806,70,2279514,4760301,True,20221108WA49443,2022-11-08,WA,Maintained,Maintnd,No,9767,2,3,51364,0.0,Repealed,Yes,9768,1,2,51363,0.0,,,
